Name,Phone,Address,Facebook,State
Fire House Antiques & Collectibles,256-880-9111,10095 S Memorial Pkwy Huntsville AL 35803,http://facebook.com/FHAntiques,Alabama
Guntersville Lake Air BandB,256-426-7082,unavailable,unavailable,Alabama
The Station by the Tracks,256-459-7780,1229 Malone Street Gadsden AL 35901,http://facebook.com/thestationgiftsandinteriors,Alabama
ReImagined,334-406-6464,595 S Forest Ave Luverne AL 36049,http://facebook.com/peopleReImagined100063512082444,Alabama
Springville Antique Mall,205-467-0612,6364 US Hwy 11 Springville AL 35146,http://www.facebook.com/pages/Springville-Antique-Mall/157829604251212,Alabama
Timeless Treasures Antique Mall,256-832-0500,230 Davis Loop Oxford AL 36203,http://www.facebook.com/timelesstreasuresoxford/,Alabama
Warehouse Market Mall Antique & Flea Market,334-858-8102,23380 5th Ave Florala AL 36442,http://facebook.com/WarehouseMarketMall,Alabama
Hartlex Antique Gallery,256-801-9168,6515 University Dr Nw Huntsville AL 35806,http://www.facebook.com/hartlex.antiques.5,Alabama
Elgin Glass Shed Antiques,256-762-7755,32 LeAnn Dr (Elgin) Rogersville AL 35652,http://www.facebook.com/pages/Elgin-Shed-Antiques/126268030731770/,Alabama
Stagecoach Antiques ,205-623-7629,2401 State Park Rd Pelham AL 35124,http://facebook.com/stagecoachantiquespelham,Alabama
Candlelight Antiques,256-423-2746,26051 Upper Elkton Rd Elkmont AL 35620,http://facebook.com/candlelightantiquemall,Alabama
Yesterday's Antiques,256-962-8386,105 2nd Ave SW Cullman AL 35055,http://facebook.com/yesterdaysantiquescullman,Alabama
Jinright's Hillside Antiques & Collectibles,334-735-5567,11683 US Hwy 231 Troy AL 36079,http://facebook.com/pagesJinrights-Hillside-Antiques-Collectibles807832179302206/,Alabama
Dave's 59 Finds - Antiques, Auctions, Thrift,256-418-4207,37669 US Hwy 11 Hammondville AL 35989,unavailable,Alabama
Antiques on Jefferson,256-426-0300,116 N Jefferson St Athens AL 35611,http://facebook.com/.profile.php?id=100083453194362,Alabama
Antiques Treasures and More,334-774-6533,367 N US Hwy 231 Ozark AL 36360,http://www.facebook.com/Antiques-Treasures-and-More-113330862367415/,Alabama
Silver Lining Market,251-989-6680,100 State Highway 59 N Summerdale AL 36580,http://www.facebook.com/Silver-Lining-Market-186208335642382/,Alabama
Southern Accents Architectural Antiques,256-737-0554,308 Second Ave SE Cullman AL 35055,http://www.facebook.com/saaa1969,Alabama
Social Butterfly Marketplace,334-216-5649,103 W. Washington St Demopolis AL 36732,http://www.facebook.com/Social-Butterfly-Marketplace-490316054671615,Alabama
Montgomery Antiques & Interiors,334-277-2490,1955 Eastern Blvd Montgomery AL 36117,http://www.facebook.com/MontgomeryAntiquesInteriors,Alabama
Pickwick Antiques,334-279-1481,3851 Interstate Court Montgomery AL 36109,http://facebook.com/pages/Pickwick-Antiques/166386743387140,Alabama
Hanna Antiques Mall,205-323-6036,2424 7th Ave South Birmingham AL 35233,http://facebook.com/pages/Hanna-Antiques/132183403482518,Alabama
810 Antiques,256-580-5002,810 Bank St NE Decatur AL 35601,http://facebook.com/810antiques,Alabama
University Pickers-Leeds,256-964-6862,6200 Grand River Blvd East  Suite 672 Leeds AL 35094,http://Facebook.com/universitypickersleeds,Alabama
Irondale Pickers,205-407-5166,5401 Beacon Dr Irondale AL 35210,http://facebook.com/Irondale-Pickers-298319220634415,Alabama
Dadeville Outdoor Flea Market,256-675-6499,850 Horseshoe Bend Rd Dadeville AL 36853,http://facebook.com/Dadevillefleamarket,Alabama
Antique Attic,334-792-5040,5037 Fortner Dothan AL 36305,http://www.facebook.com/Antique-Attic-93631556392/timeline/,Alabama
Old South Antique Mall,334-794-7568,1861 Reeves Street Dothan AL 36305,http://facebook.com/OldSouthAntiqueMall,Alabama
Windmill Hill Antiques,334-239-8086,Located Within Amy's Antique Mall  849 N Eastern Boulevard Montgomery AL 36117,unavailable,Alabama
Daphne Antique Galleria,251-625-2200,1699 US Hwy 98 E Daphne AL 36526,http://www.facebook.com/DaphneAntiques,Alabama
Vintage Interiors,205-620-1900,2838 Pelham Pkwy Pelham AL 35124,http://www.facebook.com/VintageInteriors,Alabama
Trussville Antiques and Interiors,205-661-9805,147 N Chalkville Rd Trussville AL 35173,http://facebook.com/TrussvilleAntiqueMall,Alabama
Kolectic Treasures - Anniston ,256-624-6995,4406 B McClellan Blvd Anniston AL 36206,http://facebook.com/Kolectictreasures,Alabama
Top Key Market,256-716-9163,10005 Memorial Pkwy SW Huntsville AL 35803,http://facebook.com/topkeymarket,Alabama
Vintage 426,256-997-6361,426 4th Street Attalla AL 35954,http://facebook.com/peopleVintage-426100063622016143,Alabama
Flucy Lucy Antique Market,256-489-6857,2717 Clinton Ave W Huntsville AL 35805,http://facebook.com/flucylucyantiquemarket,Alabama
Wills Creek Merchants,256-490-8839,413 4th St NW Attalla AL 35954,http://facebook.com/willscreekmerchants,Alabama
Water Valley Antiques,256-747-4496,13076 US Hwy 278 West Cullman AL 35057,http://facebook.com/pages/Water-Valley-Flea-Market/127533207293548,Alabama
Jackson's Corner,334-574-0111,23278 5th Ave Florala AL 36442,http://facebook.com/JacksonsCorner36442,Alabama
Calhoun Pickers,256-403-6865,801 Wilmer Ave Anniston AL 36201,http://www.facebook.com/pages/Calhoun-Pickers/738246139538383,Alabama
Rustique Relics Home Decor & General Store,205-258-5775,706 2nd Ave N Clanton AL 35045,http://www.facebook.com/RustiqueRelcs/,Alabama
The Willow Cottage,256-262-9415,109 S Marion St Athens AL 35611,http://facebook.com/TheWillowCottageAthens,Alabama
Bank Street Antiques ,256-274-9339,818 Bank St NE Decatur AL 35601,http://facebook.com/antiquesonbankstreet,Alabama
Emma Kate's Cottage,256-504-7810,309 5th Ave NW Attalla AL 35954,http://facebook.com/emmakatescottage,Alabama
The Brittany House Antiques at Oak Hill,256-975-7616,5931 AL-21 Oak Hill  AL 36766,http://facebook.com/The-Brittany-House-Antiques-at-Oak-Hill-840410642812834,Alabama
Past Times Antiques Mall,256-593-6890,116 S Main St Boaz AL 35957,http://facebook.com/pasttimesantiquesrsm,Alabama
Heart of Dixie Highway Antiques,256-603-1911,3199 Highway 231 Laceys Spring AL 35754,http://www.facebook.com/heartofdixiehighwayantiques,Alabama
Vintage Pickers,256-609-4625,964 Main St Fyffe AL 35971,http://facebook.com/profile.php?id=100063791520710,Alabama
The Shabby Hens,256-453-1930,6412 Us Highway 431 Alexandria AL 36250,http://facebook.com/3shabbyhens/,Alabama
Packards Antiques,256-881-1678,11110 S Memorial Pkwy Huntsville AL 35803,http://facebook.com/Packards-Antique-Center-206454039372536/,Alabama
Classic Home Decor Consignment,205-664-4454,3221 Highway 52W Pelham AL 35124,http://www.facebook.com/Classic.Home.Decor.Consignment,Alabama
Madison Station Antiques,256-772-4444,110 Main St Madison AL 35758,http://www.facebook.com/Madison-Station-Antiques-158288987596641/,Alabama
Gr8GulfCondos.com,not available,unavailable,unavailable,Alabama
Angel's Antique and Flea Mall,334-745-3221,900 Columbus Pkwy Opelika AL 36801,http://www.facebook.com/AAAFM,Alabama
Heart of the Home Antiques ,334-404-6614,940 Old Fort Rd E Fort Deposit AL 36032,http://www.facebook.com/hothantiques/,Alabama
Somewhere in Time: Antiques & Collectibles,256-538-4056,402 4th Street NW Attalla AL 35954,http://facebook.com/somewhereintimeattalla,Alabama
Sweet Pickins',256-346-2023,80 River Run Road Childersburg AL 35044,http://facebook.com/Sweetpickinsalabama,Alabama
Dave's Antiques,256-418-4207,37669 US Hwy 11 Hammondville AL 35989,http://facebook.com/daves.antiques.54,Alabama
Jasper Pickers Antique Mall & Flea Market ,205-512-1101,315 Hwy 78 West Jasper AL 35501,http://facebook.com/jasperpickers,Alabama
West Station Antiques & Gibson's Books,256-725-2665,3037 Old Hwy 431 Owens Cross Roads AL 35763,http://www.facebook.com/pages/Gibsons-Books-and-West-Station-Antiques/355381131136,Alabama
University Pickers,256-964-6862,3405 Triana Blvd Sw Huntsville AL 35805,http://facebook.com/UniversityPickers,Alabama
The Gift Horse Antiques and Restaurant,251-943-3663,209 W Laurel Ave Foley AL 36535,http://www.facebook.com/gifthorse,Alabama
Alabama Antique Market,205-462-3487,3929 Rice Mine Rd NE Tuscaloosa AL 35406,http://www.facebook.com/ricemineroad,Alabama
Highway Pickers Antique Mall & Market,256-841-5293,1354 Us Highway 278 W Cullman AL 35057,http://facebook.com/Highway-Pickers-1447922168834860,Alabama
Farmporium,256-453-2823,2621 County Road 45 Ranburne AL 36273,http://facebook.com/Howlefarms,Alabama
Memories Vintage Market,334-491-5800,1724a E Main St Prattville AL 36066,http://www.facebook.com/Memories-Flea-Antique-Mall-1609421112658420/,Alabama
Fairfax Village Antique Market,334-710-2729,302 Us Highway 29 Valley AL 36854,http://facebook.com/FairfaxVillageAntiqueMarketMaplesFlowersDesign,Alabama
Furniture Care, Inc. - Restoration & Repair,334-759-7244,unavailable,unavailable,Alabama
El-Marie's Antique and Art Marketplace,256-502-9847,201 Sparkman St NW Hartselle AL 35640,http://www.facebook.com/el-mariesmarketplace,Alabama
Vintage Coffee and Clutter,256-808-5559,12 3rd st W. Grant AL 35747,https://www.facebook.com/profile.php?id=100069492756081,Alabama
Eastbrook Antique Flea Market & Antique Mall,334-277-4027,425 Coliseum Blvd Montgomery AL 36109,http://www.facebook.com/pages/Eastbrook-Flea-Market7Antique-Mall/113700645329103,Alabama
Preservation Co.,256-539-4885,1214 Meridian St  A Huntsville AL 35801,http://facebook.com/preservationcompany,Alabama
Urban Suburban,205-592-0777,5514 Crestwood Blvd Birmingham AL 35212,http://facebook.com/UrbanSuburbanAntiques,Alabama
Past & Present,334-599-0232,4329 Highway 84 ENTERPRISE AL 36330,http://facebook.com/profile.php?id=100070307101218,Alabama
Dog Day Flea Market - Alex James,931-629-5885,30444 Gowan Road Ardmore AL 35759,unavailable,Alabama
Big Mill Co & Vintage 1889 Restaurant,256-845-3380,151 8th St NE Fort Payne AL 35967,http://www.facebook.com/bigmillartisanandantiquemall,Alabama
Cotton Antiques & Collectibles,256-835-6000,518 Main St Oxford AL 36203,http://facebook.com/profile.php?id=100057483277816,Alabama
Gardendale Pickers,205-285-5114,901 Decatur Hwy Gardendale AL 35071,http://Facebook.com/gardendalepickers,Alabama
Patches Merchant Emporium,256-259-2309,1501 South Broad Street Ste B Scottsboro  AL 35768,http://www.facebook.com/patchesmerchantemporium,Alabama
Firehouse Antiques Station #2,256-686-1392,1520 6th Ave SE Decatur AL 35601,http://www.facebook.com/Firehouse-Antiques-Station-2-109726941517708/,Alabama
Vintage Vendors,334-695-0833,1350 N Eufaula Ave Eufaula AL 36027,http://facebook.com/vivianmartin1948,Alabama
Dusty Things,256-613-7671,430 Broad St Gadsden AL 35901,http://facebook.com/pg/dustythingsantiques/,Alabama
Warrior Antique Flea Mall,205-647-4600,8089 Rouse Rd Warrior AL 35180,http://www.facebook.com/pages/The-Warrior-Antique-Flea-Mall/410782512355809,Alabama
The Picket Fence,256-777-3847,148 Calhoun St Alexander City AL 35010,http://facebook.com/The-Picket-Fence-Antique-Mall-and-Estate-Sales-102344782198578?paipv=0eav=AfZeVF8hStOmoYCesIJfp_qbkU8xjzphYTUfKUG8ADxoOarp9Y0nvrepM5Nps63Jyug_rdr,Alabama
The Southern Bazaar,205-245-2604,933 2nd Ave E Oneonta AL 35121,unavailable,Alabama
The Lineville Emporium,256-396-9121,88839 Hwy 9 Lineville AL 36266,http://facebook.com/Lineville-Emporium-1711608125765866/,Alabama
Uncle AA's Emporium,256-320-7098,121 N Montgomery Ave Sheffield AL 35660,http://facebook.com/UncleAAEmporium/,Alabama
Attic Antiques,205-991-6887,5620 Cahaba Valley Rd Birmingham AL 35242,http://facebook.com/AtticAntiquesBirmingham,Alabama
Antiques of Centre,256-557-9965,1001 Chesnut Bypass Centre AL 35960,http://www.facebook.com/1antiques/,Alabama
Sammy's Antiques and More,205-669-9006,9829 N Main St Wilsonville AL 35186,http://www.facebook.com/pages/Sammys-Antiques-and-Consignment/501569006580010,Alabama
Old School Antiques,256-396-1019,47 Barfield School Drive Lineville AL 36266,http://www.facebook.com/Old-School-Antiques-195407591003670/,Alabama
Little Barrel Antiques,520-836-3659,507 East Florence Blvd Casa Grande AZ 85122,unavailable,Arizona
A THRU Z Antiques and Collectibles,520-350-7803,4200 W Frontier St Eloy AZ 85131,unavailable,Arizona
Hidden Treasure Mall,520-803-0800,6164 S Highway 92 Hereford AZ 85615,unavailable,Arizona
West Main Gallery,479-219-5078,2611 W Main St Russellville AR 72801,http://www.facebook.com/WestMainGallery/,Arkansas
Dry Creek Homestead Mercantile,870-439-8190,21595 Highway 65 N Pindall AR 72669,http://www.facebook.com/pages/category/Antique-Store/Dry-Creek-Mercantile-101967361412683/,Arkansas
Sissy's Log Cabin,870-879-3040,2319 Camden Rd Pine Bluff AR 71603,http://www.facebook.com/sissyslogcabin,Arkansas
The Pirate’s Cove Antiques and  FleaMarket,479-305-0323,3932 S Thompson St Springdale AR 72764,http://www.facebook.com/pg/thepiratescove.ar/photos/,Arkansas
McCallie Ranch Saddle Shop Flea Market,501-477-2353,950 Highway 9 Morrilton AR 72110,http://www.facebook.com/McCallieranch/,Arkansas
Bella Rustina Modern Vintage Market,501-230-5728,2505 E Oak St Conway AR 72032,http://facebook.com/BellaRustina,Arkansas
Amazing Discoveries,501-322-0115,1004 W Broadway st Morrilton AR 72110,http://www.facebook.com/pages/category/Flea-Market/Amazing-Discoveries-366676597238224/,Arkansas
The Castle Antiques,870-898-9080,120 Rankin Street Ashdown AR 71822,http://www.facebook.com/thecastleantiques/,Arkansas
The BIrdcage VIntage Market ,870-307-0421,3470 N. Saint Louis ST Batesville AR 72501,http://www.facebook.com/thebirdcagevintagemarket/,Arkansas
Vintage Shindigs,870-917-8267,Po Box 481 Rison AR 71665,http://www.facebook.com/Vintage-Shindigs-Shop-and-vintage-rustic-rentals-320014234853373,Arkansas
Mary's Nest Vintage Market & Cafe,501-581-0330,678 Hwy 65 N Greenbrier AR 72058,http://www.facebook.com/marysnestvintagemarket,Arkansas
Gotta Stop Flea Market,501-652-9138,1519 E Harding St Morrilton AR 72110,http://www.facebook.com/pages/Gotta-Stop-Furniture-and-Flea-Market-Gotta-Shop-Scenic-7-Auction/1847849768837534,Arkansas
Funky Town Mall,479-968-3865,1612 S Arkansas Ave Russellville AR 72801,http://www.facebook.com/pages/Funky-Town-Mall/223570947805110,Arkansas
Fabulous Finds Antique & Decorative Mall,501-614-8181,2905 Cantrell Road Little Rock AR 72202,http://www.facebook.com/pages/Fabulous-Finds-Antique-Decorative-Mall/115521295144414,Arkansas
The Estate Shoppe,870-534-4300,2301 Camden Road Pine Bluff AR 71603,http://www.facebook.com/estateshoppe,Arkansas
Grandma Tammie's Treasures,870-550-9220,1A Overcup Lake Rd Morrilton AR 72110,http://en-gb.facebook.com/TntCollectibles/,Arkansas
Overcup Lake Nightly Rentals,870-550-9220,47 Overcup Lake Rd Morrilton AR 72110,unavailable,Arkansas
Country Estate Antiques and Collectibles,870-394-5251,605 S Illinois St Harrisburg AR 72432,http://www.Facebook.com/countryestateantiques,Arkansas
Rusty Rooster Flea Market,870-425-2667,1340 Highway 62 E Mountain Home AR 72653,http://www.facebook.com/rrfleamarket/,Arkansas
Crystal Hill Antique Mall,501-753-3777,5813 Crystal Hill Rd N Little Rock AR 72118,http://www.facebook.com/crystalhillantiques,Arkansas
Lovejoy Collectibles LLC,870-204-6300,3220 Highway 65 N Harrison AR 72601,http://www.facebook.com/LovejoyCollectibles/,Arkansas
Central Avenue Market Place,501-623-4484,4330 Central Ave  Suite H Hot Springs AR 71913,http://www.facebook.com/Central-Avenue-Market-Place-285719094792378/,Arkansas
Gotta Stop Auction,501-652-9138,1519 E Harding St Morrilton AR 72110,http://www.facebook.com/pages/category/Auction-House/Gotta-Bid-Auction-101448618058894/,Arkansas
Oppelo Flea Market,501-354-2640,287 Highway 9 Oppelo AR 72110,http://www.facebook.com/pages/category/Flea-Market/Oppelo-Flea-Market-267856486613467/,Arkansas
The Village @ Pickles Gap,501-523-0622,315 Highway 65 N Conway AR 72032,unavailable,Arkansas
River Valley Relics,501-993-3351,1209 S Bridge St Morrilton AR 72110,http://www.facebook.com/pages/category/Thrift---Consignment-Store/River-Valley-Relics-103130471327826/,Arkansas
Lynda’s Closet,870-448-7248,100 E Fair St Marshall AR 72650,http://m.facebook.com/Lyndas-Closet-100668332471745/,Arkansas
JUNK-SHUN Barn Flea Market ,870-743-6865,4242 Highway 65 S Harrison AR 72601,http://www.facebook.com/Junk-Shun-Barn-Harrison-AR-110103399024968/,Arkansas
Twisted Lane Candles,LLC,870-510-5641,7009 La Jolla Dr Pine Bluff AR 71603,http://www.facebook.com/twistedlane,Arkansas
Olde Towne Benton Antiques & Collectibles,501-681-3270,303 South East St Benton AR 72015,http://www.facebook.com/pages/Olde-Towne-Benton/306197649449157,Arkansas
Antique Alley Arkansas Antique Show,501-230-5728,2505 E Oak St Conway AR 72032,http://facebook.com/AntiqueAlleyArkansas,Arkansas
HomeTown Flea Market & Bow-Teek,501-208-3009,207 E Broadway St Morrilton AR 72110,http://www.facebook.com/shopmorrilton/,Arkansas
Far Out & Funky Antiques and Collectibles,870-994-5000,11 Main St Ash Flat AR 72513,http://www.facebook.com/AshFlat.Ark/,Arkansas
Fairfield County Antique & Design Center,203-826-8575,39 Knight St Norwalk CT 06851,http://facebook.com/profile.php?id=100063695677135,Connecticut
Shops at Marlborough Barn,860-295-1311,45 N Main St Marlborough CT 06447,http://www.facebook.com/shopsatmarlboroughbarn,Connecticut
Key to the Past Antique Center and Design Center,203-859-5948,37 Frontage Rd East Haven CT 06512,http://facebook.com/keytothepastantique/,Connecticut
Wright's Barn,860-307-9389,99 Wright Road Torrington CT 06790,http://www.facebook.com/WrightsBarnCafe/,Connecticut
Essex-Saybrook Antiques Village,860-388-0689,954 Middlesex Tpke Old Saybrook CT 06475,unavailable,Connecticut
Roosevelt Tower Antiques & Salvage,203-516-5728,253 Roosevelt Dr DERBY CT 06418,http://www.facebook.com/roosevelttower.antiquesalvage/,Connecticut
Nathan Hale Antique Center,860-498-7400,1141 Main St Coventry CT 06238,http://www.facebook.com/NathanHaleAntiqueCenter/,Connecticut
The Daniel Rust House,860-742-0032,2011 Main St Coventry CT 06238,http://www.facebook.com/TheDanielRustHouse/,Connecticut
Mongers Market,203-583-5899,1155 Railroad Avenue Bridgeport CT 06605,http://facebook.com/MongersMarket/,Connecticut
Trailside Treasure,860-214-9459,CHECK WEBSITE FOR NEW LOCATION Columbia CT 06237,http://www.facebook.com/TrailsideTreasure/,Connecticut
By The Pond Artist Collective & Consignment Shop,860-498-0272,187 Route 66 E Columbia CT 06237,http://www.facebook.com/By-The-Pond-414787402618567,Connecticut
Clinton Antique Center,860-669-3839,78 E Main St Clinton CT 06413,http://www.facebook.com/CLINTONANTIQUECENTER,Connecticut
Antiques on the Farmington,860-693-0615,10 Depot St Collinsville CT 06019,http://www.facebook.com/Antiquesonfarmington,Connecticut
Reclaim at Ro and Bette's Attic,203-628-5256,32 Bank St Seymour CT 06483,http://facebook.com/roandbettesattic/,Connecticut
Stonington Consign to Design,203-921-6377,132 Water St Stonington CT 06378,http://facebook.com/stoningtonconsigntodesign,Connecticut
Key to the Past Antique & Design Center, Clinton,860-664-5756,301 East Main Street Clinton CT 06413,http://facebook.com/keytothepastclinton/,Connecticut
Circa on Main,not available,225 Main St Wethersfield CT 06109,http://facebook.com/circaonmain,Connecticut
Stratford Antique Center,203-378-7754,400 Honeyspot Rd Stratford CT 06615,http://www.facebook.com/Stratford-Antique-Center-1122007854512091/,Connecticut
The Vintage Bee Collective,860-809-4454,49 Maple Street Somers CT 06072,http://facebook.com/thevintagebeecollective,Connecticut
Preserved Antiques,860-759-2008,1155 Main Street Coventry CT 06238,http://www.facebook.com/Preserved.Antiques/,Connecticut
Coventry Arts & Antiques,860-498-0352,1140 Main St Coventry CT 06238,http://facebook.com/Coventry-Arts-and-Antiques-251203054996332/,Connecticut
Antique and Vintage Treasures,860-830-4358,1141 Main St  (Lower Level) Coventry CT 06238,http://www.facebook.com/antiqueandvintagetreasures/,Connecticut
Mike and Dave's Antique Shop,203-843-5694,588 Boston Post Rd Guilford CT 06437,http://www.facebook.com/mikeanddavesantiqueconsignment/,Connecticut
Southwood Antiques & Marketplace,860-749-3292,89 Raffia Rd Enfield CT 06082,http://facebook.com/southwoodantiques,Connecticut
Heritage Antiques aka The Old Wander Inn,352-563-5597,103 Nw Us Highway 19 Crystal River FL 34428,http://www.facebook.com/HeritageAntiquesakaTheOldWander/,Florida
Stuart Antique Vintage Art Show,305-522-3315,2616 SE Dixie Hwy (A1A) Stuart FL 34996,http://Facebook.com/Stuart-Antique-Vintage-Art-Show-102714532363286,Florida
Two 'Ole Hens,352-668-4675,32745 County Road 52 San Antonio FL 33576,unavailable,Florida
Treasure Marts Mt Dora,813-830-8599,2728 W. Old Hwy 441 Mount Dora FL 32757,http://facebook.com/profile.php?id=100063895244064,Florida
Junkyard Dog Antiques and Internet Sales,352-610-4328,3282 Commercial Way Spring Hill FL 34606,http://www.facebook.com/junkyarddogstore/,Florida
Stone Street Apothecary & Antiques,321-631-4959,17 Stone St Cocoa FL 32922,http://Facebook.com/17StoneStreet,Florida
The Vendor Barn,850-520-4818,2326 State Hwy 83 N DeFuniak Springs FL 32433,http://facebook.com/profile.php?id=100092441541413,Florida
Wren Wood Antiques,352-595-5555,302 NE Cholokka Blvd Micanopy FL 32667,http://facebook.com/profile.php?id=100089924214851,Florida
Jewel Antique Mall,727-585-5568,2601 Jewell Rd Belleair Blf FL 33770,http://facebook.com/AntiquesatJewel/,Florida
Ocala Antique Mall And Estates,352-624-2511,4425 NW Blitchton Rd Ocala FL 34482,http://www.facebook.com/pages/Ocala-Antique-Mall-Estates/1540666936163624,Florida
Restless Mommas,352-281-8934,206 Northeast Cholokka Blvd Micanopy FL 32667,unavailable,Florida
Mossy Oaks Antique Mall,352-307-0090,6260 SE 118th Pl Belleview FL 34420,http://www.facebook.com/mossyoaksantiquemall/,Florida
Paradise Vintage Market,239-841-0423,13821 N Cleveland Ave Fort Myers FL 33903,http://www.facebook.com/Paradisevintagemarket/,Florida
Old 41 Restaurant ,239-948-4190,25091 Bernwood Dr Ste 1 Bonita Spgs FL 34135,http://www.facebook.com/old41restaurant/,Florida
Vintage Treasures,850-294-5131,110 E Dogwood Street Monticello FL 32344,http://www.facebook.com/vintagetreasures235monticello,Florida
Levy County Quilt Museum,352-493-2801,11050 NW 10th Ave Chiefland FL 32626,http://www.facebook.com/levyquilts/,Florida
Avonlea Antiques & Interiors,904-636-8785,8101 Philips Hwy Jacksonville FL 32256,http://www.facebook.com/AvonleaAntiques,Florida
The Linen Room - Lightner Museum Courtyard ,904-824-9948,75 King St Ste 113 St Augustine FL 32084,unavailable,Florida
Vault 46,850-520-4554,46 S 8th St DeFuniak Springs FL 32435,http://www.facebook.com/vault46defuniak,Florida
Hillsboro Antique Mall,954-571-9988,2900 West Sample Road Pompano Beach FL 33073,http://www.facebook.com/pages/Hillsboro-Antique-Mall/114168925292123,Florida
Happy Hour Antiques & Auctions,321-987-0406,8085 N Atlantic Ave Cape Canaveral FL 32920,http://www.facebook.com/321rocketgymandrec,Florida
Titusville Antique Mall,321-225-8663,3550 S Washington Ave Titusville FL 32780,http://facebook.com/titusvilleantiquemall/,Florida
Traditions Antique Mall,352-748-6255,3107 E State Road 44 Wildwood FL 34785,http://www.facebook.com/traditions.antique.mall2020/,Florida
Sarasota Salvage,941-955-6699,1093 Central Ave Sarasota FL 34236,http://www.facebook.com/SarasotaSalvage/,Florida
Wildwood Antique Mall of Wildwood,352-330-2800,364 Shopping Center Drive Wildwood FL 34785,http://facebook.com/wamwildwood/,Florida
The Coop Antiques,407-366-7705,97 Geneva Drive Oviedo FL 32765,http://www.facebook.com/thecoopantiques,Florida
World Travelers Antiques & Fine Art, LLC,202-215-2324,20651 US HWY 441  Renningers Mount Dora FL 32757,http://facebook.com/worldtravelersantiques,Florida
Duval Cottage Antiques,386-365-4932,946 East Duval St Lake City FL 32025,unavailable,Florida
Paris Market Antique Mall,239-997-2020,1357 N. Tamiami Tr.  33903 North Fort Myers FL 33903,http://www.facebook.com/Paris-Market-Antique-Mall-240500396298432/,Florida
Eco Relics,904-330-0074,106 Stockton St Jacksonville FL 32204,http://www.facebook.com/ecorelic/,Florida
America's Antique Mall - Melbourne,321-751-2480,850 N Apollo Blvd Melbourne FL 32935,http://www.facebook.com/americasantiquemallmelbourne,Florida
Diggers Antique Mall,352-629-5250,1811 N Pine Ave Ocala FL 34475,http://www.facebook.com/diggersantiquemall,Florida
West Palm Beach Antiques Festival - Florida,941-697-7475,9067 Southern Blvd Lakeland FL 33411,http://facebook.com/WPBAF,Florida
The Other Side Vintage,850-224-6666,607 Railroad Square Tallahassee FL 32310,http://facebook.com/theothersidevintage,Florida
